NAME,TAGLINE,HQ REGION,HQ COUNTRY,HQ CITY,LATITUDE,LONGITUDE,TOTAL FUNDING (EUR M),TAGS,INDUSTRIES,SUB INDUSTRIES,GROWTH STAGE,INVESTORS,EACH INVESTOR TYPES,Closest FUA,public and non-profit,investment entities,support programs,advisory and service provider
Energiency,SaaS platform that helps to assess and manage energy performance industrial environment,Europe,France,Rennes,48.0984476,-1.6995819,9.4,verification;testing;vivatech2019;sustainable development goals;energy tech;industrial technology;climate tech,energy;enterprise software,,early growth,50 Partners;ISAI;GO Capital;Epopée West Web Valley;BOOST Programs;EIT InnoEnergy;Sap.io;Encevo;Plant 4.0 Team;Sap.iO Foundry Munich;EPSA,investment entities;investment entities;investment entities;investment entities;support programs;investment entities;support programs;investment entities;investment entities;support programs;advisory and service provider,Rennes,0,7,3,1
Gradyent,Optimizing district energy networks with our Artificial Intelligence cloud platform,Europe,Netherlands,Rotterdam,51.9233416,4.4682012,11.9,sustainable development goals;climate tech,energy,energy efficiency,late growth,New Energy Challenge;Capricorn Partners;Helen Ventures;ENERGIIQ;henQ;InnovationQuarter;Quest for Growth;Eneco Ventures,support programs;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities,Rotterdam,0,7,1,0
Umincorp,Turning post-consumer plastic waste into valuable raw materials with our process,Europe,Netherlands,Rotterdam,51.9192271,4.4865176,15,recycling;waste reduction;plastic;mining technologies;sustainable development goals;climate tech;circular economy;plastic pollution,energy,waste solution,early growth,Delft Enterprises;Invest-NL;Energy Transition Fund Rotterdam;Dutch National Fund for Green Investments;Energietransitiefonds Rotterdam;SKion GmbH;Ingka Investments,investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities,Rotterdam,0,7,0,0
Volterion,Develops and manufactures redox-flow battery stacks and systems for commercial bulk energy storage of renewable energy sources at lowest cost of storage,Europe,Germany,Ruhr,51.488465,7.4843082,16.11,battery;solar energy;sustainable development goals;climate tech;stationary energy storage;novel energy;grid energy storage,energy,energy storage;clean energy,early growth,Fraunhofer Venture;High-Tech Gründerfonds;SeedCapital Dortmund;Eurostars SME programme;EIT InnoEnergy;EIT Climate-KIC;Thomas Mathenia;Eugen Hahn;Boysen Management;Ruhr:Hub,investment entities;investment entities;investment entities;public and non-profit;investment entities;support programs;investment entities;investment entities;investment entities;support programs,Dusseldorf,1,7,2,0
The Batteries,Develops revolutionary low-cost thin film solid state battery technology for IoT,Europe,Poland,Rzeszów,50.11711305,22.0174614,11.3,sustainable development goals;lithium ion batteries;solid-state battery,energy,energy storage,early growth,META;APER Ventures;Podkarpackie Science and Technology Park;PFR Ventures;European Commission;Horizon 2020;European Union;JR Holding;EIT InnoEnergy;UAB Electronics System;January Ciszewski,"investment entities;investment entities;support programs;investment entities,investment entities,investment entities;public and non-profit;investment entities;public and non-profit;investment entities;investment entities;investment entities;investment entities",Cracow,2,7,1,0
Lactips,"Lactips makes recyclable food packaging, with casein-based thermoplastics (milk protein), the only biodegradable and water-soluble substance",Europe,France,Saint-Etienne,45.4593411,4.4526115,20.59,food waste;polymers and polymer alternatives;waste reduction;biotechnology;advanced materials;sustainable packaging;bioplastic;event management;vivatech2019;sustainable development goals;industrial technology;innovative material tech;climate tech;circular economy;chemical;community management,food;energy,food logistics & delivery;waste solution,late growth,European Innovation Council;Demeter Partners;BASF Venture Capital;BNP Paribas Développement;Crédit Agricole;Bpifrance;Mitsubishi Chemical Holdings Group;EIT Food;EIC Fund (European Innovation Council Fund);Diamond Edge Ventures,"public and non-profit;investment entities,investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;support programs;investment entities;investment entities",Lyon,1,7,1,0
Stockholmwater,Develops and designs clean and sustainable water solutions,Europe,Sweden,Stockholm,59.3251172,18.0710935,2.3,sustainable development goals;climate tech,energy,water;waste solution,seed,Almi Invest;STOAF (Stockholms Affärsänglar);Creative Destruction Lab;Sustainable Energy Angels;EIT InnoEnergy;Sweden Enerny Angels;Magnus Eriksson;KTH Holding,investment entities;investment entities;support programs;investment entities;investment entities;investment entities;investment entities;investment entities,Stockholm,0,7,1,0
Tiptapp,Helps to move stuff in and out of home,Europe,Sweden,Stockholm,59.3322751,18.0679332,2.86,recycling;circular economy;waste reduction;sustainable development goals,energy;transportation,logistics & delivery;waste solution,early growth,GP Bullhound;Otiva;Per Brilioth;Jonas Nordlander;Ashley Heppenstall;Filip Engelbert;Merro;Erik Fischbeck,"advisory and service provider,investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities",Stockholm,0,7,0,0
Hepta Airborne,Offers high-quality consulting services in the design of electrical and communication networks,Europe,Estonia,Tallinn,59.39617695,24.65924557,2.79,drones;aerospace;predictive analytics;space tech;sustainable development goals;data analytics;space tech to energy;climate tech;esa bic;space downstream;esa,energy;robotics,energy efficiency,early growth,Contrarian Ventures;Expansion Capital;Thorgate Ventures;EIT InnoEnergy;SpeedUp Group;Markku Jääskelainen;ESA BIC ESTONIA;SpeedUp Energy Innovation,investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;support programs;investment entities,Tallinn,0,7,1,0
EXASUN,Produces state-of-the-art solar panels for flat roofs and various types of 'solar tiles'​ for pitched roofs and facades,Europe,Netherlands,The Hague,52.044204,4.3570777,14,solar energy;modular;sustainable development goals;climate tech,real estate;energy,clean energy;energy efficiency,early growth,ING Group;ENERGIIQ;ABN AMRO;Icos Capital;No Such Ventures;InnovationQuarter;NSV;Invest-NL,"investment entities;investment entities;investment entities;investment entities;investment entities,investment entities;investment entities;investment entities;investment entities",The Hague,0,7,0,0
Pili,"Biofabricates a sustainable alternative to create renewable inks to replace their toxic, non-biological, and non-recyclable versions",Europe,France,Toulouse,43.583117,1.448664,24.46,biotechnology;biomaterials;sustainable development goals;climate tech;synthetic biology;innovative material tech;circular economy,energy,waste solution,early growth,SOSV;Bpifrance;Elaia Partners;Fashion For Good;Wiseed;Plug and Play;Plug & Play Topeka;Startup Angels Alb-Bodensee;Famille C Participations,investment entities;investment entities;investment entities;investment entities;public and non-profit;investment entities;support programs;investment entities;investment entities,Toulouse,1,7,1,0
Dracula Technologies,"Dracula Technologies has developed a green alternative to Lithium-ion batteries. It generates energy from ambient light and is specifically designed for IoT devices, such as smart home tools",Europe,France,Valence,44.9372915,4.930176,10.52,mobility;tracking;smart building;sustainable development goals;climate tech;solar energy;other categories novel energy;novel energy;space tech;space downstream;space tech to energy,energy;semiconductors,energy efficiency;clean energy,early growth,Eurostars SME programme;Wiseed;MGI Digital Technology;ISRA Cards;Femmes Business Angels;European Innovation Council;Banque des Territoires;Semtech;Souverain;Fonds Souverain Auvergne-Rhône-Alpes,public and non-profit;public and non-profit;investment entities;investment entities;investment entities;public and non-profit;investment entities;investment entities;investment entities;investment entities,Grenoble,3,7,0,0
Rein4ced,Impact resistant carbon fibre composites and has developed and patented a brand new impact resistant composite material,Europe,Belgium,Brussels,50.9226243,4.5142324,19,user behavior;aerospace;automotive;bicycle;composite materials;spinout,energy,clean energy,early growth,Innovation Fund;EIT RawMaterials;Capricorn Partners;Quest for Growth;KU Leuven;Finindus;Gemma Frisius Fund - GFF;PMV;Invest for jobs,investment entities;support programs;investment entities;investment entities;public and non-profit;investment entities;investment entities;investment entities;investment entities,Brussels,1,7,1,0
Docea Power,Develops and markets software solutions for power and thermal analysis at the architectural level,Europe,France,Grenoble,45.326168,5.564722,1.36,analytics;user behavior;verification;risk management,energy;enterprise software,energy efficiency,seed,Intel Corporation;Octalfa;Kreaxi;Alpes Developpement Durable Invest;XAnge;Rhone-Alpes Creation;Siparex,investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities,Grenoble,0,7,0,0
Tri'n'Collect,"Offers a tailor-made service for sorting, collecting and recycling construction waste",Europe,France,Nantes,47.2022679,-1.6278029,1.5,,energy,waste solution,early growth,Saint-Gobain NOVA;Saint-Gobain Distribution Bâtiment France;FASTEA CAPITAL;Pays de la Loire Participations;Bpifrance;HSBC UK;Colam Impact,investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities,Nantes,0,7,0,0
Energy Square,Conductive wireless chargers that will allow you to charge all your devices on an ultrathin pad,Europe,France,Paris,48.8455824,2.4177968,4.05,charging technology;consumer electronics,energy;semiconductors,energy efficiency;energy storage,early growth,NUMA;Bpifrance;Investessor;Paris Business Angels;WeLike;Partech;EIT InnoEnergy;Wilco;Elaia Partners,support programs;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;support programs;investment entities,Paris,0,7,2,0
